geo,month,channel,contribution,roi
Geo0,1,tv_spend,33643.52480059629,25.789607985081908
Geo0,1,radio_spend,16353.946055633647,50.38371968803112
Geo0,1,print_spend,6361.6255364736935,
Geo0,1,search_spend,61771.60693492361,23.972132296187084
Geo0,1,social_spend,22182.087769924765,23.84757624554583
Geo0,2,tv_spend,35192.56749216219,20.627777330826994
Geo0,2,radio_spend,19779.62895171372,10.856089554056824
Geo0,2,print_spend,6262.9661306449525,16.415543575084733
Geo0,2,search_spend,61361.09920924249,20.967527221066455
Geo0,2,social_spend,22552.48497036087,16.88378004760265
Geo0,3,tv_spend,34200.990932724344,24.37437117207598
Geo0,3,radio_spend,19628.168436264063,18.121721004617253
Geo0,3,print_spend,9895.425948884247,18.560145751173383
Geo0,3,search_spend,63809.52249290938,17.043004687742602
Geo0,3,social_spend,23492.70896999328,14.501306193760938
Geo0,4,tv_spend,34553.14347112003,26.270114602258584
Geo0,4,radio_spend,18894.40214720455,16.142383017744546
Geo0,4,print_spend,8394.143223615487,68.64088667086467
Geo0,4,search_spend,63093.00136880297,20.292918868770165
Geo0,4,social_spend,22543.42224093703,19.824250075620643
Geo0,5,tv_spend,33692.05988131048,24.110567406399156
Geo0,5,radio_spend,19197.412540834397,14.167672061417159
Geo0,5,print_spend,7921.699920050952,27.670029328772326
Geo0,5,search_spend,61381.8353275749,22.13656472043071
Geo0,5,social_spend,23365.36507441664,13.780800859689041
Geo0,6,tv_spend,35399.878583097096,22.737284190400473
Geo0,6,radio_spend,19840.25469049737,14.363631851286973
Geo0,6,print_spend,8002.3554079817095,32.83562472579613
Geo0,6,search_spend,62932.64753655871,19.41448844453752
Geo0,6,social_spend,23735.55708814033,15.730698274033905
Geo0,7,tv_spend,33849.60215653494,26.070181519784786
Geo0,7,radio_spend,19398.968870117358,19.973757769009858
Geo0,7,print_spend,8596.521852946244,29.771062494870517
Geo0,7,search_spend,62290.05207885942,21.741227512517685
Geo0,7,social_spend,23997.537568310923,11.394351287468151
Geo0,8,tv_spend,34515.91794372462,19.00275136375641
Geo0,8,radio_spend,19491.334684887734,13.016806277997189
Geo0,8,print_spend,10252.472290506807,13.248272435012959
Geo0,8,search_spend,63099.81310783055,17.507036506061024
Geo0,8,social_spend,24958.730388797012,10.614132989942858
Geo0,9,tv_spend,35603.81747941514,20.76571976626882
Geo0,9,radio_spend,20611.18196741042,12.19134462458692
Geo0,9,print_spend,10978.830791277334,11.47598319827449
Geo0,9,search_spend,65148.647981414746,14.559408106564284
Geo0,9,social_spend,25081.348074819496,10.570474492808094
Geo0,10,tv_spend,36608.55540280748,16.508059171351395
Geo0,10,radio_spend,21377.650617453924,9.409381296233809
Geo0,10,print_spend,11562.049533952102,10.81066768988596
Geo0,10,search_spend,65853.17099330889,14.241933977791565
Geo0,10,social_spend,25867.12907356623,8.119717029749454
Geo0,11,tv_spend,36168.64887839964,19.06322855764592
Geo0,11,radio_spend,20070.5615780579,13.7619346447893
Geo0,11,print_spend,10513.780439893113,18.344730417563795
Geo0,11,search_spend,65170.02909693529,14.409738417690988
Geo0,11,social_spend,24224.5481517481,13.642943922653739
Geo0,12,tv_spend,34502.90914600511,26.280956679694597
Geo0,12,radio_spend,20383.07708329932,12.409877257687784
Geo0,12,print_spend,9768.89542274967,19.790753509238147
Geo0,12,search_spend,64214.72016170413,17.718334470139805
Geo0,12,social_spend,23608.7782895513,16.64326868935782
Geo1,1,tv_spend,37181.02949356903,14.81234612569036
Geo1,1,radio_spend,20664.035981032972,11.42938767958448
Geo1,1,print_spend,10584.86049681812,10.80694924768003
Geo1,1,search_spend,66683.77313569777,11.207481363079452
Geo1,1,social_spend,25813.441647430085,6.941266696095755
Geo1,2,tv_spend,37058.3239924631,12.921586186686095
Geo1,2,radio_spend,21198.140492991417,9.12308243034837
Geo1,2,print_spend,9546.611985957099,31.65287940413345
Geo1,2,search_spend,64808.08355161276,15.467273208454522
Geo1,2,social_spend,24352.186138572426,13.782235717278025
Geo1,3,tv_spend,36435.60152147162,18.158490187088223
Geo1,3,radio_spend,19494.444448483373,15.940371124032515
Geo1,3,print_spend,8024.957967756512,14.510036987767565
Geo1,3,search_spend,62397.78098306443,18.354653347103756
Geo1,3,social_spend,24397.25130766456,10.312145075820705
Geo1,4,tv_spend,35939.57490495961,18.43435595833554
Geo1,4,radio_spend,19324.622348386052,14.557397117454283
Geo1,4,print_spend,6063.421658928273,576.5563335996627
Geo1,4,search_spend,66568.9748696186,11.86047016669769
Geo1,4,social_spend,24073.12542893409,12.662896311106628
Geo1,5,tv_spend,36292.93140491148,15.31026664123222
Geo1,5,radio_spend,19470.31692756393,16.527745258845936
Geo1,5,print_spend,6823.353595645353,14.931273954930315
Geo1,5,search_spend,65447.319091359735,13.888780074382739
Geo1,5,social_spend,24820.4260295474,9.423683101395838
Geo1,6,tv_spend,36200.661323171946,19.993214877779984
Geo1,6,radio_spend,20314.649793815224,11.18309766627352
Geo1,6,print_spend,7855.687271532218,34.73496193616926
Geo1,6,search_spend,63293.00185117328,19.148170956891036
Geo1,6,social_spend,25004.244430453502,9.774832116581416
Geo1,7,tv_spend,35003.671691183714,19.448847174828014
Geo1,7,radio_spend,20235.905779435474,10.672619767646538
Geo1,7,print_spend,7219.9497799852525,37.20686271196837
Geo1,7,search_spend,63838.51964811475,17.345632710434444
Geo1,7,social_spend,24733.488468237243,10.005708261849161
Geo1,8,tv_spend,37215.96853388145,12.93643874818706
Geo1,8,radio_spend,20757.446813350143,11.032751579352734
Geo1,8,print_spend,11008.758492592291,10.225145688354642
Geo1,8,search_spend,66501.10136748018,11.300326519708436
Geo1,8,social_spend,25724.561571997812,7.983791236018974
Geo1,9,tv_spend,35726.75565179066,19.218007529611747
Geo1,9,radio_spend,20995.31828541659,10.508869637026637
Geo1,9,print_spend,10866.528152514771,13.704007467343407
Geo1,9,search_spend,67027.55448964276,11.610306029185796
Geo1,9,social_spend,25244.604626969354,9.677613980276112
Geo1,10,tv_spend,38075.05336869192,11.505762345026103
Geo1,10,radio_spend,21977.932242375922,7.098182605549743
Geo1,10,print_spend,11870.846907023626,7.597866271531203
Geo1,10,search_spend,68223.03722373367,10.321504385813748
Geo1,10,social_spend,26772.069463492837,6.043638119729288
Geo1,11,tv_spend,38356.491371422715,10.975733985180101
Geo1,11,radio_spend,21317.92481327743,10.47428398289449
Geo1,11,print_spend,12179.592246656655,7.0628052644337505
Geo1,11,search_spend,67977.62131495329,9.415970795118822
Geo1,11,social_spend,26129.101911648664,6.489423573458334
Geo1,12,tv_spend,37771.159202091316,13.95859108166815
Geo1,12,radio_spend,20639.951991934002,11.295976667004421
Geo1,12,print_spend,12338.866221226479,8.101176677304121
Geo1,12,search_spend,67162.28085290517,13.283194070026303
Geo1,12,social_spend,25655.441420195413,9.460147184923196
Geo10,1,tv_spend,43243.43548538331,3.8728779747776088
Geo10,1,radio_spend,24568.898834069674,3.136293067806067
Geo10,1,print_spend,10531.868877293306,29.518704449017974
Geo10,1,search_spend,77880.45150215893,2.949496426856485
Geo10,1,social_spend,30359.949765318255,1.8863727224871742
Geo10,2,tv_spend,44203.448494402975,3.3608028850553313
Geo10,2,radio_spend,24139.91795163491,3.660099118464492
Geo10,2,print_spend,10713.77789087231,4.5281503766006965
Geo10,2,search_spend,75695.55536815616,3.723175014387054
Geo10,2,social_spend,29191.138510341058,2.759092468210804
Geo10,3,tv_spend,43069.74968137522,4.70092317485885
Geo10,3,radio_spend,22083.48658005122,5.491646296798229
Geo10,3,print_spend,9690.175414866866,36.856487961022665
Geo10,3,search_spend,75817.11285776529,3.866967983878645
Geo10,3,social_spend,28583.3610876705,3.458906280260482
Geo10,4,tv_spend,41067.32028228513,6.239211146086985
Geo10,4,radio_spend,23662.83367913328,3.3716954890489945
Geo10,4,print_spend,9141.738911050406,9.885433625760431
Geo10,4,search_spend,75273.19864747988,3.9396643840694536
Geo10,4,social_spend,27766.445657149427,4.045149097452348
Geo10,5,tv_spend,42233.51188503174,4.602181247398207
Geo10,5,radio_spend,23942.26676925405,3.228927257463503
Geo10,5,print_spend,11635.27301459601,7.57405183044058
Geo10,5,search_spend,77053.49957466764,3.3290487873343224
Geo10,5,social_spend,29907.219103665768,2.153637997014374
Geo10,6,tv_spend,43531.25625963202,3.779282900647623
Geo10,6,radio_spend,22454.518449467934,3.9166152008470116
Geo10,6,print_spend,10921.436675106526,2.477466135471788
Geo10,6,search_spend,77097.76997644584,2.87664966005963
Geo10,6,social_spend,29969.5642396417,2.149643796594526
Geo10,7,tv_spend,42982.52606847759,5.0161968092849305
Geo10,7,radio_spend,23470.169669001774,2.597958078268557
Geo10,7,print_spend,12774.650495430626,8.37250455687436
Geo10,7,search_spend,76369.15583295924,3.9899076369976307
Geo10,7,social_spend,30494.28777974887,1.929332800114465
Geo10,8,tv_spend,44580.68966034887,3.000020758065553
Geo10,8,radio_spend,24816.067850202988,2.702629276308897
Geo10,8,print_spend,12898.328864545649,2.70958510913626
Geo10,8,search_spend,78863.26549683888,2.404869678523693
Geo10,8,social_spend,30779.096126397442,1.6586015188291692
Geo10,9,tv_spend,43218.96002489352,4.251466805677627
Geo10,9,radio_spend,24950.97803561653,2.8251928273260467
Geo10,9,print_spend,14843.145345428054,1.8436106639477834
Geo10,9,search_spend,79424.68437671737,2.6789267591572545
Geo10,9,social_spend,31455.26571844377,1.607271334504358
Geo10,10,tv_spend,44657.742105617814,3.090669685624385
Geo10,10,radio_spend,25067.347309546392,2.336852456117205
Geo10,10,print_spend,14307.996605816712,2.7243129672122324
Geo10,10,search_spend,78757.53173950834,2.7648695034306687
Geo10,10,social_spend,31094.562173255472,1.7190832550975224
Geo10,11,tv_spend,44357.79411924856,3.553615497699072
Geo10,11,radio_spend,25465.302056089226,1.9507468633688045
Geo10,11,print_spend,13765.413736490651,2.7306473704131795
Geo10,11,search_spend,79289.06520038687,2.4123268568477623
Geo10,11,social_spend,30280.826700554033,2.271514037766534
Geo10,12,tv_spend,43264.23549063271,4.051857369318735
Geo10,12,radio_spend,25918.77823930162,2.0188500729908583
Geo10,12,print_spend,13215.265362654607,4.942718134374725
Geo10,12,search_spend,78568.18395072641,2.894102631721777
Geo10,12,social_spend,29535.41023065589,2.904061499809225
Geo11,1,tv_spend,39224.736084723234,7.467071224055045
Geo11,1,radio_spend,22915.203660197112,5.438774358411847
Geo11,1,print_spend,9646.437500773338,9.99812290216009
Geo11,1,search_spend,75358.92302080165,4.40025824814752
