geo,year,month,quarter,channel,contribution,roi
Geo0,2021,1,1,tv_spend,33417.5331556568,16.237388689224726
Geo0,2021,1,1,radio_spend,0.0,
Geo0,2021,1,1,print_spend,0.0,
Geo0,2021,1,1,search_spend,59054.101161213315,16.102458831820698
Geo0,2021,1,1,social_spend,19969.89996609685,23.728369250561013
Geo0,2021,2,1,tv_spend,35673.122529843466,17.6284906473185
Geo0,2021,2,1,radio_spend,19820.52934934661,12.770744311143588
Geo0,2021,2,1,print_spend,6179.455719285782,167.78539930158692
Geo0,2021,2,1,search_spend,62380.1795247752,19.65170200002123
Geo0,2021,2,1,social_spend,23345.792689683396,15.126969941705411
Geo0,2021,3,1,tv_spend,34842.433156994084,22.882888051865873
Geo0,2021,3,1,radio_spend,20121.883289874808,15.157801356096705
Geo0,2021,3,1,print_spend,10014.22545239861,9.958926838030736
Geo0,2021,3,1,search_spend,63891.06888366347,16.947288597667047
Geo0,2021,3,1,social_spend,24201.783773483585,11.46516340063297
Geo0,2021,4,2,tv_spend,36427.96389034494,18.700888565348592
Geo0,2021,4,2,radio_spend,18248.31339615616,32.520971810312325
Geo0,2021,4,2,print_spend,9508.213469994034,
Geo0,2021,4,2,search_spend,64028.94976629257,17.791903469182866
Geo0,2021,4,2,social_spend,23071.47920485359,28.713727346231206
Geo0,2021,5,2,tv_spend,34298.62014683035,30.222446442582466
Geo0,2021,5,2,radio_spend,19807.975492073398,9.229681606191642
Geo0,2021,5,2,print_spend,6416.718509099577,26.829250229417823
Geo0,2021,5,2,search_spend,61131.419529450926,22.74131471658045
Geo0,2021,5,2,social_spend,24006.24512797898,12.524883928171585
Geo0,2021,6,2,tv_spend,35147.6042177687,21.28263563945548
Geo0,2021,6,2,radio_spend,19974.886922726113,25.80299260697915
Geo0,2021,6,2,print_spend,8596.655353910719,447.5773639182692
Geo0,2021,6,2,search_spend,64102.506413560994,17.73466396309685
Geo0,2021,6,2,social_spend,24048.008352092238,13.829348209607094
Geo0,2021,7,3,tv_spend,30527.431882489516,82.0917044772436
Geo0,2021,7,3,radio_spend,19175.31853442567,18.681660012092088
Geo0,2021,7,3,print_spend,6553.607298666414,18.680457033525617
Geo0,2021,7,3,search_spend,62194.98422706461,21.199477703317847
Geo0,2021,7,3,social_spend,23946.399106633467,13.289132400760527
Geo0,2021,8,3,tv_spend,33557.70691598449,18.168172245132805
Geo0,2021,8,3,radio_spend,20178.534822817473,12.154457400392905
Geo0,2021,8,3,print_spend,10988.537075775408,16.935314507657395
Geo0,2021,8,3,search_spend,63661.137339281675,15.929593171534716
Geo0,2021,8,3,social_spend,24683.254548193803,11.518226252791132
Geo0,2021,9,3,tv_spend,35026.45477500682,30.648565150879435
Geo0,2021,9,3,radio_spend,20463.69698340689,14.00461848785308
Geo0,2021,9,3,print_spend,8563.695883694369,
Geo0,2021,9,3,search_spend,63712.946282525096,20.428609761770684
Geo0,2021,9,3,social_spend,25083.30968370339,10.209224212512044
Geo0,2021,10,4,tv_spend,36330.7261108031,16.92847986514664
Geo0,2021,10,4,radio_spend,21472.969268547527,8.747082482921444
Geo0,2021,10,4,print_spend,11092.839067756458,8.877607032802956
Geo0,2021,10,4,search_spend,66173.74698851994,13.010539038661515
Geo0,2021,10,4,social_spend,25703.400485874496,8.237420232561602
Geo0,2021,11,4,tv_spend,36416.051747247686,16.828591604918028
